name,played,points,goals_against,goals_for,name_league,goal_diff,points_per_game
Barcelona,23,58,23,63,LALIGA,40,2.5217391304347827
Real Madrid,23,57,18,49,LALIGA,31,2.4782608695652173
Atlético Madrid,23,45,18,38,LALIGA,20,1.9565217391304348
Villarreal,22,45,24,43,LALIGA,19,2.0454545454545454
Real Betis,23,38,28,37,LALIGA,9,1.6521739130434783
Espanyol,23,34,31,27,LALIGA,-4,1.4782608695652173
Celta Vigo,23,33,25,30,LALIGA,5,1.434782608695652
Real Sociedad,23,31,31,33,LALIGA,2,1.3478260869565217
Osasuna,23,29,28,28,LALIGA,0,1.2608695652173914
Athletic Club,23,28,33,25,LALIGA,-8,1.2173913043478262
Getafe,23,26,27,18,LALIGA,-9,1.1304347826086956
Girona,23,26,37,22,LALIGA,-15,1.1304347826086956
Sevilla,23,25,38,30,LALIGA,-8,1.0869565217391304
Alavés,23,25,29,20,LALIGA,-9,1.0869565217391304
Elche,23,24,35,31,LALIGA,-4,1.0434782608695652
Mallorca,23,24,37,28,LALIGA,-9,1.0434782608695652
Valencia,23,23,37,23,LALIGA,-14,1.0
Rayo Vallecano,22,22,30,18,LALIGA,-12,1.0
Levante,22,18,38,26,LALIGA,-12,0.8181818181818182
Real Oviedo,22,16,34,12,LALIGA,-22,0.7272727272727273
Arsenal,25,56,17,49,Premier League,32,2.24
Manchester City,26,53,24,54,Premier League,30,2.0384615384615383
Aston Villa,26,50,27,37,Premier League,10,1.9230769230769231
Manchester United,26,45,37,47,Premier League,10,1.7307692307692308
Chelsea,26,44,30,47,Premier League,17,1.6923076923076923
Liverpool,26,42,35,41,Premier League,6,1.6153846153846154
Brentford,25,39,34,39,Premier League,5,1.56
Everton,26,37,30,29,Premier League,-1,1.4230769230769231
AFC Bournemouth,26,37,45,43,Premier League,-2,1.4230769230769231
Newcastle United,26,36,37,37,Premier League,0,1.3846153846153846
Sunderland,26,36,30,27,Premier League,-3,1.3846153846153846
Fulham,26,34,40,35,Premier League,-5,1.3076923076923077
Crystal Palace,26,32,32,28,Premier League,-4,1.2307692307692308
Brighton & Hove Albion,26,31,34,34,Premier League,0,1.1923076923076923
Leeds United,26,30,45,36,Premier League,-9,1.1538461538461537
Tottenham Hotspur,26,29,37,36,Premier League,-1,1.1153846153846154
Nottingham Forest,26,27,38,25,Premier League,-13,1.0384615384615385
West Ham United,26,24,49,32,Premier League,-17,0.9230769230769231
Burnley,26,18,51,28,Premier League,-23,0.6923076923076923
Wolverhampton Wanderers,26,9,48,16,Premier League,-32,0.34615384615384615
Internazionale,24,58,19,57,Serie A,38,2.4166666666666665
AC Milan,23,50,17,38,Serie A,21,2.1739130434782608
Napoli,24,49,23,36,Serie A,13,2.0416666666666665
Juventus,24,46,20,41,Serie A,21,1.9166666666666667
AS Roma,24,46,14,29,Serie A,15,1.9166666666666667
Como,23,41,16,37,Serie A,21,1.7826086956521738
Atalanta,24,39,21,32,Serie A,11,1.625
Lazio,24,33,23,26,Serie A,3,1.375
Udinese,24,32,36,27,Serie A,-9,1.3333333333333333
Bologna,24,30,31,32,Serie A,1,1.25
Sassuolo,24,29,34,27,Serie A,-7,1.2083333333333333
Cagliari,24,28,33,28,Serie A,-5,1.1666666666666667
Torino,24,27,42,24,Serie A,-18,1.125
Parma,24,26,30,16,Serie A,-14,1.0833333333333333
Genoa,24,23,37,29,Serie A,-8,0.9583333333333334
Cremonese,24,23,33,21,Serie A,-12,0.9583333333333334
Lecce,24,21,31,15,Serie A,-16,0.875
Fiorentina,24,18,38,27,Serie A,-11,0.75
Pisa,24,15,40,19,Serie A,-21,0.625
Hellas Verona,24,15,41,18,Serie A,-23,0.625
Bayern Munich,21,54,19,79,Bundesliga,60,2.5714285714285716
Borussia Dortmund,21,48,20,43,Bundesliga,23,2.2857142857142856
TSG Hoffenheim,21,42,28,44,Bundesliga,16,2.0
RB Leipzig,21,39,28,40,Bundesliga,12,1.8571428571428572
VfB Stuttgart,21,39,28,38,Bundesliga,10,1.8571428571428572
Bayer Leverkusen,20,36,27,39,Bundesliga,12,1.8
SC Freiburg,21,30,33,32,Bundesliga,-1,1.4285714285714286
Eintracht Frankfurt,21,28,46,41,Bundesliga,-5,1.3333333333333333
1. FC Union Berlin,21,25,34,26,Bundesliga,-8,1.1904761904761905
FC Cologne,21,23,34,30,Bundesliga,-4,1.0952380952380953
Hamburg SV,20,22,29,21,Bundesliga,-8,1.1
Borussia Mönchengladbach,21,22,34,25,Bundesliga,-9,1.0476190476190477
FC Augsburg,21,22,39,24,Bundesliga,-15,1.0476190476190477
Mainz,21,21,33,25,Bundesliga,-8,1.0
VfL Wolfsburg,21,19,44,29,Bundesliga,-15,0.9047619047619048
Werder Bremen,21,19,39,22,Bundesliga,-17,0.9047619047619048
St. Pauli,21,17,35,20,Bundesliga,-15,0.8095238095238095
1. FC Heidenheim 1846,21,13,47,19,Bundesliga,-28,0.6190476190476191
